ref	text	parallel	translation
Mt.25.40	jah andhafjands sa þiudans qiþiþ du im amen qiþa izwis jah þanei tawideduþ ainamma þize minnistane broþre meinaize mis tawideduþ		
Mt.25.41	þanuh qiþiþ jah þaim af hleidumein ferai gaggiþ fairra mis jus fraqiþanans in fon þata aiweino þata manwido unhulþin jah aggilum is		
Mt.25.42	unte gredags was jan~ni gebuþ mis matjan afþaursiþs was jan~ni dragkideduþ mik		
Mt.25.43	gasts was jan~ni galaþodeduþ mik naqaþs jan~ni wasideduþ mik siuks jah in karkarai jan~ni gaweisodeduþ meina		
Mt.25.44	þanuh andhafjand jah þai qiþandans frauja ƕan þuk seƕum gredagana aiþþau afþaursidana aiþþau gast aiþþau naqadana aiþþau siukana aiþþau in karkarai jan~ni andbahtidedeima þus		
Mt.25.45	þanuh andhafjiþ im qiþands amen qiþa izwis jah þanei ni tawideduþ ainamma þize leitilane mis ni tawideduþ		
Mt.25.46	jah galeiþand þai in balwein aiweinon iþ þai garaihtans in libain aiweinon		
Mt.26.1	jah warþ biþe ustauh Iesus alla þo waurda qaþ siponjam seinaim		
Mt.26.2	wituþ þatei afar twans dagans paska wairþiþ jas~sa sunus mans atgibada du ushramjan		
Mt.26.3	þanuh		
Mt.26.65	þaurbum weitwode sai nu gahausideduþ þo wajamerein is		
Mt.26.66	ƕa izwis þugkeiþ iþ eis andhafjandans qeþun skula dauþaus ist		
Mt.26.67	þanuh spiwun ana andawleizn is jah kaupastedun ina sumaiþ~þan lofam slohun		
Mt.26.68	qiþandans praufetei unsis Xristu ƕas ist sa slahands þuk		
Mt.26.69	iþ Paitrus uta sat ana rohsnai jah duatiddja imma aina þiwi qiþandei jah þu wast miþ Iesua þamma Galeilaiau		
Mt.26.70	ƕa qiþis		
Mt.26.71	usgaggandan þan ina in daur gasaƕ ina anþara jah qaþ du þaim jainar jah sa was miþ Iesua þamma Nazoraiau		
Mt.26.72	jah aftra afaiaik miþ aiþa swarands þatei ni kann þana mannan		
